Month,Sales
1/1/2015,310.2
2/1/2015,290.5
3/1/2015,235.1
4/1/2015,230.1
5/1/2015,225.9
6/1/2015,247.7
7/1/2015,302.6
8/1/2015,307.4
9/1/2015,383.5
10/1/2015,399.4
11/1/2015,424.3
12/1/2015,470.8
1/1/2016,330.5
2/1/2016,285.9
3/1/2016,240.3
4/1/2016,240.9
5/1/2016,239.5
6/1/2016,270.5
7/1/2016,210.7
8/1/2016,310.4
9/1/2016,386.9
10/1/2016,400.1
11/1/2016,429.4
12/1/2016,475.2
1/1/2017,189.5
2/1/2017,134.8
3/1/2017,150.4
4/1/2017,170.4
5/1/2017,125.6
6/1/2017,180.4
7/1/2017,190.4
8/1/2017,240.3
9/1/2017,259.7
10/1/2017,280.5
11/1/2017,382.7
12/1/2017,410.8
1/1/2018,294.3
2/1/2018,149.5
3/1/2018,140.1
4/1/2018,133.3
5/1/2018,191.4
6/1/2018,207
7/1/2018,236
8/1/2018,303.6
9/1/2018,329.9
10/1/2018,341.6
11/1/2018,334.5
12/1/2018,424.5
1/1/2019,320.1
2/1/2019,285.4
3/1/2019,240.7
4/1/2019,236.9
5/1/2019,236.3
6/1/2019,265.4
7/1/2019,307.8
8/1/2019,304.7
9/1/2019,380.2
10/1/2019,394.5
11/1/2019,420.2
12/1/2019,467
1/1/2020,316.3
2/1/2020,294.1
3/1/2020,232.2
4/1/2020,235.1
5/1/2020,229.9
6/1/2020,250.8
7/1/2020,312.4
8/1/2020,308.1
9/1/2020,384.7
10/1/2020,400.3
11/1/2020,421.9
12/1/2020,472
1/1/2021,333.5
2/1/2021,289
3/1/2021,240.6
4/1/2021,242.1
5/1/2021,237.3
6/1/2021,274.2
7/1/2021,215.5
8/1/2021,314.1
9/1/2021,385.9
10/1/2021,402.7
11/1/2021,430.6
12/1/2021,478.8
